GSM#,Tooth Row Length (mm),Tooth Row Breadth (mm),Molar Row Length (mm),Molar Row Breadth (mm),Average TRB + MRB (mm),Diastema Length,M1 Breadth,M2 Breadth,M3 Breadth,M1 Height,M2 Height,M3 Height,M1 Length,M2 Length,M3 Length,Age (mo),
1,133.62,15.2,80.26,16.61,15.91,,15.39,17.49,16.32,18.93,24.67,23.47,23.2,26.53,35.39,64,
2,,19.59,92.85,19.24,19.42,113.62,16.92,20.17,18.9,26.52,27.27,22.58,28.02,30.99,37.48,27,
3,,,,,,,14.42,14.89,,,,,24.04,27.35,,13,
4,131.35,17.6,83.1,18.1,17.85,120.35,15.48,16.95,16.81,21.19,26.08,26.17,22.82,26.38,34.82,57,
5,,,,,,,14.75,16.73,,24.16,25.04,,25.57,30.31,,19,
6,,,62.98,,,93.68,13.53,,,21.13,,,24.53,,,7,
7,130.73,16.97,,16.54,16.76,146.24,14.2,16.46,18.19,17.38,18.87,20.21,21.29,25.78,35.27,64,
8,,,,,,81.56,11.87,,,,,,27.04,,,7,
9,142.96,17.53,86.79,16.95,17.24,,13.19,16.91,16.7,,,,25.09,28.38,32.53,45,
10,,17.16,85.01,17.86,17.51,,14.6,17.27,18.16,22.13,25.74,26.73,24.74,27.18,35.27,53,
11,139.00,16.99,86.4,17.02,17.01,,14.37,17.12,17.16,24.59,25.92,26.88,25.69,28.21,32.31,54,
12,140.79,18.1,87.4,17.35,17.73,,15.41,17.23,18.19,25.67,27.24,28.34,26.65,28.46,33.23,54,
13,,21.11,93.5,20.25,20.68,114.82,16.95,19.05,19.21,22,25.58,25.29,27.74,31.38,36.87,24,
14,143.45,17.47,87.44,17.55,17.51,,15.14,17.02,18.4,26.11,27.36,27.66,25.7,28.12,34.21,44,
15,,17.52,85.49,18.38,17.95,,15.4,17.75,17.33,25.17,26.34,27.08,24.66,28,33.74,43,
16,137.66,17.7,84.51,17.52,17.61,,14.79,16.04,17.63,23.29,25.31,26.33,24.74,27.46,33.74,46,
17,144.77,17.04,87.3,17.89,17.47,,15.48,17.12,16.9,24.12,25.4,26.72,24.88,28.75,33.25,46,
18,146.01,16,82.2,16.59,16.3,,15.09,16.94,17.33,22.38,23.55,24,23.16,26.77,30.5,27,
19,132.46,17.74,84.09,17.4,17.57,116.32,15.73,17.3,17.2,,,,23.69,27.59,31.76,50,
20,140.16,17.06,86.44,17.5,17.28,,14.9,16.96,16.87,22.96,24.19,23.33,25.09,27.78,32.65,44,
21,137.02,17.91,83.68,17.77,17.84,,15.64,17.94,18.02,24.67,25.21,26.78,24.23,28.05,32,45,
22,138.60,17.78,85.54,17.93,17.86,145.93,16.84,16.48,18.63,20.11,23.82,22.66,22.82,28.28,36.43,60,
23,136.32,17.78,84.11,18.19,17.99,129.93,16,17.66,17.15,22.13,24.65,24.33,24.28,28.45,32.92,46,
24,144.78,17.48,89.36,16.99,17.24,,15.72,18.11,16.89,,,,26.11,29.43,34.95,35,
25,131.95,16.87,81.32,17.14,17.01,144.4,14.82,16.82,17.57,15.63,17.97,16.77,21.17,26.82,35.2,61,
26,,,,,,,13.67,16.49,,22.51,24.64,,25.7,29.85,,19,
27,140.02,17.16,87.67,17.75,17.46,111.03,15.53,16.63,16.84,23.34,25.28,28.03,25.95,28.73,32.98,43,
28,133.64,17.45,82.3,17.09,17.27,122.5,16.18,16.85,15.74,17.11,21.57,20.54,21.42,26.69,33.76,62,
29,151.49,17.79,93.6,18.14,17.97,123.7,15.78,17.13,18.21,24.67,27.35,27.9,27.13,30.1,35.64,43,
30,138.75,16.59,85.86,15.67,16.13,123.6,15.06,17.41,17.88,23.22,26.47,26.17,24.05,28.02,32.83,49,
31,140.27,17.43,85.72,18.09,17.76,123.51,14.79,15.69,16.64,21.4,23.67,25.59,23.85,28.33,34.86,52,
32,138.45,18.11,82.89,17.86,17.99,123.06,15.36,17.38,16.46,18.11,19,20.99,22.75,27.33,36.01,63,
33,139.67,18.59,82.86,18.97,18.78,123.6,16.22,17.64,18.28,15.94,18.16,19.2,22.26,26.43,36.95,64,
